价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
1280,8,116763-C,3室1卫,4/6层,顺义区,顺义,石园东区,地铁：距15号线顺义站2350米
5370,46,135043-A,1室1卫,12/28层,朝阳区,传媒大学,妇联小区,地铁：距八通线传媒大学站1000米
3550,58,146867-A,1室1卫,1/6层,通州区,万盛西,中泽家园,地铁：距7号线万盛西站1350米
2140,8,32090-A,6室2卫,6/6层,朝阳区,孙河,康营小区C区,地铁：距15号线孙河站1350米
3110,15,33766-C,3室1卫,7/28层,丰台区,六里桥,华源二里,地铁：距9号线六里桥东站1150米
1910,16,48054-A,3室1卫,12/12层,房山区,篱笆房,清雅小区,地铁：距房山线篱笆房站850米
1860,19,47200-B,3室1卫,8/10层,房山区,广阳城,原香小镇一区,地铁：距房山线广阳城站2050米
,,,,,,,,
4250,18,60306-B,2室1卫,3/6层,朝阳区,高家园,高家园一区,地铁：距14号线东段望京南站750米
2690,16,829-B,3室1卫,12/16层,朝阳区,星火,姚家园东里7号院,"地铁：距3号线,20号线星火站800米"
3100,34,8987-A,1室1卫,9/11层,通州区,果园,晟世嘉园,地铁：距八通线果园站1500米
2160,10,925-B,3室1卫,14/28层,朝阳区,管庄,管庄新村,地铁：距八通线管庄站600米
2000,11,149667-B,3室1卫,3/18层,大兴区,天宫院,金融街融汇,地铁：距4号线大兴线天宫院站850米
2860,10,13405-B,3室1卫,28/29层,丰台区,宋家庄,鲁能榴景秀苑,"地铁：距5号线,10号线,亦庄线宋家庄站550米"
2570,9,149092-A,3室1卫,3/6层,丰台区,角门东,角门东里,地铁：距10号线角门东站400米
5780,25,152456-A,2室1卫,14/18层,朝阳区,大望路,盛世嘉园,"地铁：距1号线,14号线东段大望路站500米"
,,,,,,,,
,,,,,,,,
3910,13,23630-A,4室1卫,10/18层,海淀区,六道口,文成杰座,地铁：距15号线六道口站750米
2790,22,23722-C,4室1卫,1/6层,丰台区,火箭万源,清和园,地铁：距8号线南段火箭万源站1450米
2500,21,36549-D,4室1卫,11/11层,昌平区,沙河,宏枫攀达,地铁：距昌平线沙河站950米
1920,9,47950-C,4室1卫,21/21层,大兴区,亦庄桥,首开住总国悦居,地铁：距亦庄线荣京东街站2900米
3360,12,73054-A,2室1卫,5/16层,朝阳区,金台路,金台北街小区,"地铁：距6号线,14号线东段金台路站300米"
2060,11,148056-A,2室1卫,17/18层,房山区,稻田,金域缇香,地铁：距房山线稻田站800米
2340,10,130442-B,3室1卫,16/18层,朝阳区,管庄,远洋一方润园,地铁：距八通线管庄站950米
3660,29,19623-C,3室1卫,23/33层,丰台区,方庄,10AM新坐标,地铁：距14号线东段方庄站400米
2420,25,25176-B,4室1卫,1/6层,昌平区,天通苑北,名佳花园三区,地铁：距5号线天通苑北站2600米
2980,20,29673-B,4室1卫,4/18层,通州区,高楼金,瑞都公园世家南区,地铁：距7号线高楼金站500米
2220,9,29593-A,4室1卫,7/9层,朝阳区,东坝中街,首开常青藤三期,地铁：距14号线东段将台站4000米
930,8,31961-A,3室1卫,3/5层,房山区,阎村,绿城百合公寓南屏苑,地铁：距燕房线阎村站900米
2600,8,531-B,4室1卫,3/6层,朝阳区,望京,南湖中园一区,"地铁：距14号线东段,15号线望京站800米"
3350,18,12083-B,4室1卫,3/6层,朝阳区,潘家园,潘家园南里,地铁：距10号线潘家园站950米
3590,16,140749-A,2室1卫,2/5层,朝阳区,劲松,劲松一区,地铁：距10号线劲松站300米
2090,13,143615-B,4室1卫,15/16层,昌平区,南邵,路劲世界城二期,地铁：距昌平线南邵站500米
2380,13,143132-C,4室1卫,4/6层,大兴区,旧宫,宣颐家园,地铁：距亦庄线旧宫站850米
1490,9,146745-B,3室1卫,5/6层,房山区,良乡大学城西,鸿顺园西区,地铁：距房山线良乡大学城西站350米
2390,10,150778-A,2室1卫,13/18层,大兴区,荣昌东街,南海家园六里,地铁：距亦庄线荣昌东街站3400米
,,,,,,,,
,,,,,,,,
3570,15,28456-D,4室1卫,21/22层,西城区,车公庄,西直门南大街,"地铁：距6号线,2号线车公庄站50米"
2060,15,30835-C,3室1卫,2/21层,房山区,长阳,康泽佳苑,地铁：距房山线长阳站500米
1860,10,33020-D,4室1卫,6/6层,朝阳区,小红门,燕归宁馨园,地铁：距亦庄线小红门站1200米
,,,,,,,,
,,,,,,,,
4780,24,49287-B,5室1卫,10/17层,朝阳区,青年路,珠江罗马嘉园西区,地铁：距6号线青年路站500米
1760,9,51493-C,3室1卫,2/6层,顺义区,石门,西辛南区,地铁：距15号线石门站450米
,,,,,,,,
2510,7,531-D,4室1卫,3/6层,朝阳区,望京,南湖中园一区,"地铁：距14号线东段,15号线望京站800米"
2830,9,9991-B,4室1卫,6/25层,朝阳区,阜通,花家地西里,地铁：距14号线东段阜通站900米
3380,8,117425-B,2室1卫,4/6层,朝阳区,大望路,光辉南里,"地铁：距1号线,14号线东段大望路站400米"
7700,49,142735-A,1室1卫,12/21层,朝阳区,十里堡,万科金阳国际公寓,地铁：距6号线十里堡站1550米
5580,43,145986-A,1室1卫,3/19层,朝阳区,十里堡,炫特嘉园,地铁：距6号线十里堡站800米
2940,11,149799-B,2室1卫,4/6层,朝阳区,马泉营,马南里,地铁：距15号线马泉营站1350米
1830,8,153615-C,3室1卫,3/6层,大兴区,清源路,兴华园,地铁：距4号线大兴线清源路站600米
4200,20,15768-B,4室1卫,4/16层,海淀区,上地,上地佳园,地铁：距13号线上地站150米
4020,29,17527-C,5室1卫,8/22层,丰台区,角门东,金胜嘉谊家园,地铁：距10号线角门东站700米
,,,,,,,,
3010,18,1897-B,4室1卫,2/6层,朝阳区,南楼梓庄,紫南家园（南区）,地铁：距7号线南楼梓庄站250米
1290,6,24789-C,4室1卫,6/20层,门头沟区,小园,保利首开四季怡园,地铁：距S1线小园站950米
4290,17,28040-B,4室1卫,2/7层,海淀区,车道沟,远大园四区,地铁：距10号线车道沟站800米
3490,12,27322-A,2室1卫,2/6层,朝阳区,和平西桥,樱花东街,地铁：距13号线光熙门站600米
,,,,,,,,
2320,9,31684-B,3室1卫,3/7层,朝阳区,褡裢坡,三间房西里,地铁：距6号线褡裢坡站800米
3340,19,48154-C,5室1卫,4/12层,朝阳区,传媒大学,珠江绿洲家园,地铁：距八通线传媒大学站550米
1780,9,52770-C,3室1卫,5/6层,顺义区,顺义,东兴一区,地铁：距15号线顺义站400米
2500,9,62298-B,3室1卫,8/28层,朝阳区,北岗子,将府锦苑,地铁：距14号线东段将台站3550米
2960,10,6441-C,5室1卫,3/18层,朝阳区,双井,合生国际家园,"地铁：距7号线,10号线双井站700米"
2120,10,77542-C,4室1卫,7/21层,朝阳区,北岗子,坝鑫家园,"地铁：距12号线,平谷线北岗子站850米"
3120,9,78287-B,3室1卫,18/25层,朝阳区,惠新西街北口,安慧里一区,地铁：距5号线惠新西街北口站600米
2440,10,8994-B,3室1卫,24/29层,朝阳区,传媒大学,北花园小区,地铁：距八通线传媒大学站600米
,,,,,,,,
1670,9,120945-B,3室1卫,2/28层,通州区,同济南路,宏仁家园,地铁：距亦庄线同济南路站3100米
4260,18,11490-B,3室1卫,16/25层,朝阳区,立水桥南,北苑家园望春园,地铁：距5号线立水桥南站600米
2530,9,144344-C,4室1卫,11/34层,昌平区,天通苑,天通苑西二区,地铁：距5号线天通苑站500米
2300,8,147528-A,2室1卫,2/6层,通州区,通州北苑,杨庄小区,地铁：距八通线通州北苑站400米
2180,10,151096-B,3室1卫,6/15层,朝阳区,小红门,鸿博家园一期A区,地铁：距亦庄线小红门站900米
2870,7,151179-C,3室1卫,1/6层,海淀区,六道口,建清园,地铁：距15号线六道口站1600米
1840,10,153081-A,3室1卫,6/16层,大兴区,枣园,首开康乃馨城,地铁：距4号线大兴线枣园站1850米
,,,,,,,,
2300,12,47269-C,3室1卫,10/11层,通州区,万盛东,小稿村,地铁：距7号线万盛东站1200米
1640,10,125895-D,4室1卫,4/6层,大兴区,德茂,上林苑,地铁：距8号线南段德茂站1100米
1980,7,11220-D,4室1卫,11/11层,顺义区,花梨坎,吉祥花园,地铁：距15号线花梨坎站450米
2820,29,11735-B,8室3卫,1/3层,朝阳区,双桥,水郡长安,地铁：距八通线双桥站800米
,,,,,,,,
1910,11,140488-C,3室1卫,4/10层,朝阳区,肖村,成和园,地铁：距亦庄线肖村站2150米
3100,14,153115-A,2室1卫,9/20层,朝阳区,传媒大学,绿岛苑西区,地铁：距八通线传媒大学站1100米
2350,9,15520-A,4室1卫,5/8层,朝阳区,肖村,中海城圣朝菲,地铁：距亦庄线肖村站600米
1720,13,31780-C,3室1卫,9/14层,通州区,通州北关,西潞苑小区,地铁：距6号线通州北关站1950米
2840,9,41039-B,3室1卫,2/6层,朝阳区,劲松,劲松一区,地铁：距10号线劲松站300米
,,,,,,,,
,,,,,,,,
2300,9,10086-A,3室1卫,23/28层,朝阳区,青年路,金隅泰和园,地铁：距6号线青年路站1250米
3470,14,11489-A,3室1卫,5/6层,朝阳区,望京,望京西园二区,"地铁：距14号线东段,15号线望京站650米"
2230,11,12306-A,3室1卫,2/6层,大兴区,旧宫,美然绿色家园,地铁：距亦庄线旧宫站800米
2480,6,138786-A,4室1卫,11/11层,通州区,经海路,经开壹中心,地铁：距亦庄线经海路站800米
1750,9,150158-C,3室1卫,4/6层,顺义区,南法信,华英园（顺义）,地铁：距15号线南法信站800米
1860,8,141469-A,4室1卫,11/27层,通州区,次渠南,次渠家园东里8区,地铁：距亦庄线次渠南站700米
2440,11,152204-A,2室1卫,10/21层,大兴区,西红门,鸿坤理想城七期,地铁：距4号线大兴线西红门站1250米
2880,10,152683-A,3室1卫,2/6层,朝阳区,十里堡,八里庄北里1号院,地铁：距6号线十里堡站100米
2030,9,37846-A,3室1卫,5/6层,石景山区,苹果园,金顶街四区,"地铁：距1号线,6号线苹果园站200米"
,,,,,,,,
4320,15,65434-A,3室1卫,11/22层,海淀区,知春路,希格玛公寓,"地铁：距13号线,10号线知春路站350米"
